GameID AgentName Player Round FinalScore Win Cellar Market Militia Mine Moat Remodel Smithy Village Woodcutter Workshop Curse Gold Silver Copper Estate Duchy Province
0 Silvermink 0 0 33 1.0 0 0 0 1 0 0 0 0 0 0 0 0 0 7 3 0 0
0 Draggor 1 0 21 0 1 0 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0
0 Silvermink 0 1 33 1.0 1 0 0 1 0 0 0 0 0 0 0 0 0 7 3 0 0
0 Draggor 1 1 21 0 1 1 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0
0 Silvermink 0 2 33 1.0 1 0 0 2 0 0 0 0 0 0 0 0 1 6 3 0 0
0 Draggor 1 2 21 0 2 1 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0
0 Silvermink 0 3 33 1.0 1 0 0 2 0 0 0 0 0 0 0 0 2 6 3 0 0
0 Draggor 1 3 21 0 2 1 0 0 0 0 1 0 0 0 0 0 0 7 3 0 0
0 Silvermink 0 4 33 1.0 1 0 0 2 0 0 0 0 0 0 0 2 1 6 3 0 0
0 Draggor 1 4 21 0 2 1 0 1 0 0 1 0 0 0 0 0 0 7 3 0 0
0 Silvermink 0 5 33 1.0 1 0 0 3 0 0 0 0 0 0 0 2 1 6 3 0 0
0 Draggor 1 5 21 0 2 1 0 1 0 0 1 1 0 0 0 0 0 7 3 0 0
0 Silvermink 0 6 33 1.0 1 0 0 3 0 0 1 0 0 0 0 3 0 6 3 0 0
0 Draggor 1 6 21 0 2 1 0 1 0 0 1 2 0 0 0 0 1 6 3 0 0
0 Silvermink 0 7 33 1.0 1 0 0 3 0 0 1 0 0 0 0 4 1 5 3 0 0
0 Draggor 1 7 21 0 2 1 0 1 0 0 1 3 0 0 0 0 1 6 3 0 0
0 Silvermink 0 8 33 1.0 1 0 0 3 0 0 1 0 0 0 0 5 1 5 3 0 0
0 Draggor 1 8 21 0 2 1 0 2 0 0 1 3 0 0 0 0 2 5 3 0 0
0 Silvermink 0 9 33 1.0 1 1 0 3 0 0 1 0 0 0 0 5 2 4 3 0 0
0 Draggor 1 9 21 0 2 1 0 2 0 0 2 3 0 0 0 0 3 4 3 0 0
0 Silvermink 0 10 33 1.0 1 1 0 3 0 0 1 0 0 0 0 6 1 4 3 0 1
0 Draggor 1 10 21 0 2 1 0 2 0 0 2 3 0 0 0 1 4 3 3 0 0
0 Silvermink 0 11 33 1.0 1 1 0 3 0 0 1 1 0 0 0 6 2 3 3 0 1
0 Draggor 1 11 21 0 2 1 0 2 0 0 2 4 0 0 0 1 5 2 3 0 0
0 Silvermink 0 12 33 1.0 1 2 0 3 0 0 1 1 0 0 0 6 3 2 3 0 1
0 Draggor 1 12 21 0 3 1 0 2 0 0 2 4 0 0 0 1 6 1 3 0 1
0 Silvermink 0 13 33 1.0 1 2 0 3 0 0 1 1 0 0 0 7 2 2 3 0 2
0 Draggor 1 13 21 0 3 1 0 2 0 0 2 4 0 0 0 1 7 0 3 0 2
0 Silvermink 0 14 33 1.0 1 2 0 3 0 0 1 1 0 0 0 7 2 2 3 0 3
0 Draggor 1 14 21 0 3 2 0 2 0 0 2 4 0 0 0 1 7 0 3 0 2
0 Silvermink 0 15 33 1.0 1 2 0 3 0 0 1 1 0 0 0 8 1 2 3 0 4
0 Draggor 1 15 21 0 3 2 0 2 0 0 2 4 0 0 0 2 6 0 3 0 3
0 Silvermink 0 16 33 1.0 1 2 0 3 0 0 1 1 0 0 0 8 1 2 3 0 5
0 Draggor 1 16 21 0 3 2 0 2 0 0 2 4 0 0 0 2 6 0 3 0 3
1 CatDog 0 0 39 1.0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 3 0 0
1 TheMule 1 0 27 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 3 0 0
1 CatDog 0 1 39 1.0 0 0 0 0 0 0 0 1 0 1 0 0 0 7 3 0 0
1 TheMule 1 1 27 0 0 0 0 0 1 0 0 0 0 0 0 0 1 7 3 0 0
1 CatDog 0 2 39 1.0 0 0 1 0 0 0 1 1 0 1 0 0 0 7 3 0 0
1 TheMule 1 2 27 0 0 0 0 0 1 0 1 0 0 0 0 0 1 7 3 0 0
1 CatDog 0 3 39 1.0 1 0 1 0 0 0 1 1 0 1 0 0 0 7 3 0 0
1 TheMule 1 3 27 0 0 0 0 0 1 0 1 0 0 0 0 0 2 7 3 0 0
1 CatDog 0 4 39 1.0 1 1 1 0 0 0 1 1 0 1 0 0 0 7 3 0 0
1 TheMule 1 4 27 0 0 0 0 0 1 0 1 0 0 0 0 0 3 7 3 0 0
1 CatDog 0 5 39 1.0 1 1 1 0 0 0 1 1 0 1 0 1 0 8 3 0 0
1 TheMule 1 5 27 0 0 0 0 0 1 0 1 1 0 0 0 0 3 7 3 0 0
1 CatDog 0 6 39 1.0 1 1 1 0 1 0 1 1 0 1 0 1 0 8 3 0 0
1 TheMule 1 6 27 0 0 0 0 0 1 0 1 2 0 0 0 0 3 7 3 0 0
1 CatDog 0 7 39 1.0 1 1 1 0 1 0 1 2 0 1 0 1 1 8 3 0 0
1 TheMule 1 7 27 0 0 0 0 0 1 0 1 2 1 0 0 0 3 7 3 0 0
1 CatDog 0 8 39 1.0 1 1 1 0 1 0 2 2 0 1 0 1 1 8 3 0 0
1 TheMule 1 8 27 0 0 0 0 0 1 0 1 2 1 0 0 1 3 7 3 0 0
1 CatDog 0 9 39 1.0 2 1 1 1 1 0 2 2 0 1 0 1 1 8 3 0 0
1 TheMule 1 9 27 0 0 0 0 0 1 0 2 2 1 0 0 1 3 7 3 0 0
